id_cliente,id_equipo,id_abono,fecha_de_alta,razon_social,direccion,celular,dni,coordenadas,numero_ip,correo_electronico
18,5,2,2023-10-31 23:00:00,Peluqueria Estilo,Calle Espana 789,0341-6543210,50901234,"-32.89084, -68.827171",192.168.1.18,peluqueriaestilo@gmail.com
19,7,3,2023-11-30 23:30:00,Estudio Fotografico Luna,Ruta Nacional 14 km 56,0299-2345678,20123456,"-38.95161, -68.0591",192.168.1.19,estudioluna@gmail.com
20,9,4,2023-12-31 00:00:00,Consultora de Recursos Humanos,Av. Centenario 456,0221-8765432,40123456,"-34.921389, -57.954444",192.168.1.20,consultorarh@gmail.com
21,3,1,2024-01-31 00:30:00,Estudio de Diseno Soluciones Creativas,Cabildo 123,0381-3456789,30123456,"-27.469771, -58.830039",192.168.1.21,solucionescreativas@gmail.com
22,4,2,2024-02-29 01:00:00,Libreria El Dorado,Calle Italia 789,0341-9876543,50123456,"-32.89084, -68.827171",192.168.1.22,libreriaeldorado@gmail.com
23,6,3,2024-03-31 01:30:00,Imprenta de la Colina,Av. Libertad 123,0299-3456789,20234567,"-38.95161, -68.0591",192.168.1.23,imprentadelacolina@gmail.com
24,1,4,2024-04-30 02:00:00,Inmobiliaria del Sur,Av. Rivadavia 789,0221-6543210,40234567,"-34.921389, -57.954444",192.168.1.24,inmobiliariadelsur@gmail.com
25,5,1,2024-05-31 02:30:00,Ferreteria San Lorenzo,Av. Independencia 456,0381-8765432,30234567,"-27.469771, -58.830039",192.168.1.25,ferreteriasanlorenzo@gmail.com
26,7,2,2024-06-30 03:00:00,Tienda de Ropa El Sol,Calle Chile 789,0341-2345678,50234567,"-32.89084, -68.827171",192.168.1.26,tiendaelsol@gmail.com
27,8,3,2024-07-31 03:30:00,Estudio de Arquitectura Digital,Ruta Nacional 11 km 67,0299-8765432,20345678,"-38.95161, -68.0591",192.168.1.27,arquitecturadigital@gmail.com
28,10,4,2024-08-31 04:00:00,Consultora de Marketing Digital,Av. Sarmiento 123,0221-5678901,40345678,"-34.921389, -57.954444",192.168.1.28,marketingdigital@gmail.com
29,2,1,2024-09-30 04:30:00,Estudio de Abogados Garcia y Asociados,Av. Belgrano 456,0381-2345678,30345678,"-27.469771, -58.830039",192.168.1.29,abogadosgarcia@gmail.com
30,9,2,2024-10-31 05:00:00,Ferreteria del Norte,Av. San Martin 678,0341-8765432,50345678,"-32.89084, -68.827171",192.168.1.30,ferreteriadelnorte@gmail.com
31,6,3,2024-11-30 05:30:00,Estudio de Arquitectura Moderna,Calle Mitre 123,0291-6543210,20345678,"-32.89084, -68.827171",192.168.1.31,arquitecturamoderna@gmail.com
32,4,4,2024-12-31 06:00:00,Consultorio Medico San Pablo,Av. Rivadavia 456,0221-9876543,40345678,"-34.921389, -57.954444",192.168.1.32,consultoriomedicosanpablo@gmail.com
33,1,1,2025-01-31 06:30:00,Peluqueria Estilo y Belleza,Av. 9 de Julio 789,0381-3456789,50345678,"-27.469771, -58.830039",192.168.1.33,peluqueriaestiloybelleza@gmail.com
34,2,2,2025-02-28 07:00:00,Estudio Contable Martinez,Calle San Juan 123,0341-8765432,30345678,"-32.89084, -68.827171",192.168.1.34,contablemartinez@gmail.com
35,5,3,2025-03-31 07:30:00,Farmacia del Centro,Ruta Nacional 7 km 89,0299-2345678,20345678,"-38.95161, -68.0591",192.168.1.35,farmaciadelcentro@gmail.com
36,7,4,2025-04-30 08:00:00,Estudio Juridico Ramirez y Asociados,Av. Pellegrini 789,0221-5678901,40345678,"-34.921389, -57.954444",192.168.1.36,ramirezyasociados@gmail.com
37,9,1,2025-05-31 08:30:00,Centro de Estetica Bella Vista,Av. Centenario 123,0341-2345678,50345678,"-32.89084, -68.827171",192.168.1.37,esteticabellavista@gmail.com
38,8,2,2025-06-30 09:00:00,Optica Vision,Av. 25 de Mayo 456,0291-8765432,20345678,"-38.95161, -68.0591",192.168.1.38,opticavision@gmail.com
39,6,3,2025-07-31 09:30:00,Estudio Fotografico Eclipse,Calle Belgrano 789,0381-3456789,40345678,"-27.469771, -58.830039",192.168.1.39,fotografiaeclipse@gmail.com
40,10,4,2025-08-31 10:00:00,Constructora Los Andes,Av. San Martin 123,0341-9876543,50345678,"-32.89084, -68.827171",192.168.1.40,constructoralosandes@gmail.com
41,3,1,2025-09-30 10:30:00,Estudio de Diseno Creativo,Calle Mitre 456,0299-2345678,20345678,"-38.95161, -68.0591",192.168.1.41,disenocreativo@gmail.com
42,4,2,2025-10-31 11:00:00,Libreria El Dorado II,Av. Santa Fe 789,0221-8765432,40345678,"-34.921389, -57.954444",192.168.1.42,libreriaeldoradoII@gmail.com
43,1,3,2025-11-30 11:30:00,Peluqueria Estilo y Corte,Calle Sarmiento 123,0381-3456789,50345678,"-27.469771, -58.830039",192.168.1.43,peluqueriaestiloycorte@gmail.com
44,2,4,2025-12-31 12:00:00,Estudio Contable Fernandez,Av. Independencia 789,0341-2345678,20345678,"-32.89084, -68.827171",192.168.1.44,contablefernandez@gmail.com
45,5,1,2026-01-31 12:30:00,Farmacia del Sol II,Calle Italia 123,0299-8765432,40345678,"-38.95161, -68.0591",192.168.1.45,farmaciadelsolII@gmail.com
46,7,2,2026-02-28 13:00:00,Tienda de Ropa La Estrella,Av. Libertad 789,0221-5678901,50345678,"-34.921389, -57.954444",192.168.1.46,tiendalaestrella@gmail.com
47,9,3,2026-03-31 13:30:00,Estudio de Arquitectura Contemporanea,Calle Chile 456,0381-9876543,20345678,"-27.469771, -58.830039",192.168.1.47,arquitecturacontemporanea@gmail.com
48,8,4,2026-04-30 14:00:00,Optica La Vista,Av. Sarmiento 456,0341-3456789,40345678,"-32.89084, -68.827171",192.168.1.48,opticalavista@gmail.com
49,6,1,2026-05-31 14:30:00,Estudio Fotografico Aurora,Ruta Nacional 7 km 123,0299-8765432,50345678,"-38.95161, -68.0591",192.168.1.49,fotografiaaurora@gmail.com
50,10,2,2026-06-30 15:00:00,Constructora La Plata,Calle San Martin 789,0221-9876543,20345678,"-34.921389, -57.954444",192.168.1.50,constructoralaplata@gmail.com



