"63","28","Instalacion","disponible solo por la mañana","instalado satisfactoriamente","2024-02-29 09:00:00"
"64","28","Reclamo","inestabilidad de conexion","conexion estabilizada","2024-03-30 10:30:00"
"65","29","Instalacion","visitar después de las 17hs","instalado satisfactoriamente","2024-04-30 17:00:00"
"66","29","Reclamo","cable cortado","cable reparado","2024-05-30 12:00:00"
"67","30","Instalacion","disponible solo por la mañana","instalado satisfactoriamente","2024-06-30 09:00:00"
"68","30","Reclamo","inestabilidad de conexion","conexion estabilizada","2024-07-30 11:00:00"
"69","31","Instalacion","visitar después de las 17hs","instalado satisfactoriamente","2024-08-30 18:00:00"
"70","31","Reclamo","cable cortado","cable reparado","2024-09-30 13:00:00"
"71","32","Instalacion","disponible solo por la mañana","instalado satisfactoriamente","2024-10-30 10:00:00"
"72","32","Reclamo","inestabilidad de conexion","conexion estabilizada","2024-11-30 12:00:00"
"73","33","Instalacion","visitar después de las 17hs","instalado satisfactoriamente","2024-12-30 16:00:00"
"74","33","Reclamo","cable cortado","cable reparado","2024-01-31 11:00:00"
"75","34","Instalacion","disponible solo por la mañana","instalado satisfactoriamente","2024-02-29 09:00:00"
"76","34","Reclamo","inestabilidad de conexion","conexion estabilizada","2024-03-31 10:00:00"
"77","35","Instalacion","visitar después de las 17hs","instalado satisfactoriamente","2024-04-30 18:00:00"
"78","35","Reclamo","cable cortado","cable reparado","2024-05-31 12:00:00"
"79","36","Instalacion","disponible solo por la mañana","instalado satisfactoriamente","2024-06-30 10:00:00"
"80","36","Reclamo","inestabilidad de conexion","conexion estabilizada","2024-07-31 11:30:00"
"81","37","Instalacion","visitar después de las 17hs","instalado satisfactoriamente","2024-08-31 16:00:00"
"82","37","Reclamo","cable cortado","cable reparado","2024-09-30 13:00:00"
"83","38","Instalacion","disponible solo por la mañana","instalado satisfactoriamente","2024-10-31 09:00:00"
"84","38","Reclamo","inestabilidad de conexion","conexion estabilizada","2024-11-30 10:00:00"
"85","39","Instalacion","visitar después de las 17hs","instalado satisfactoriamente","2024-12-31 18:00:00"
"86","39","Reclamo","cable cortado","cable reparado","2024-01-31 12:00:00"
"87","40","Instalacion","disponible solo por la mañana","instalado satisfactoriamente","2024-02-29 09:00:00"
"88","40","Reclamo","inestabilidad de conexion","conexion estabilizada","2024-03-31 10:00:00"
"89","41","Instalacion","visitar después de las 17hs","instalado satisfactoriamente","2024-04-30 16:00:00"
"90","41","Reclamo","cable cortado","cable reparado","2024-05-31 13:00:00"
"91","42","Instalacion","disponible solo por la mañana","instalado satisfactoriamente","2024-06-30 09:00:00"
"92","42","Reclamo","inestabilidad de conexion","conexion estabilizada","2024-07-31 11:00:00"
"93","43","Instalacion","visitar después de las 17hs","instalado satisfactoriamente","2024-08-31 18:00:00"
"94","43","Reclamo","cable cortado","cable reparado","2024-09-30 12:00:00"
"95","44","Instalacion","disponible solo por la mañana","instalado satisfactoriamente","2024-10-31 10:00:00"
"96","44","Reclamo","inestabilidad de conexion","conexion estabilizada","2024-11-30 11:00:00"
"97","45","Instalacion","visitar después de las 17hs","instalado satisfactoriamente","2024-12-31 16:00:00"
"98","45","Reclamo","cable cortado","cable reparado","2024-01-31 13:00:00"
"99","46","Instalacion","disponible solo por la mañana","instalado satisfactoriamente","2024-02-29 09:00:00"
"100","46","Reclamo","inestabilidad de conexion","conexion estabilizada","2024-03-31 10:00:00"
"101","47","Instalacion","visitar después de las 17hs","instalado satisfactoriamente","2024-04-30 16:00:00"
"102","47","Reclamo","cable cortado","cable reparado","2024-05-31 13:00:00"
"103","48","Instalacion","disponible solo por la mañana","instalado satisfactoriamente","2024-06-30 09:00:00"
"104","48","Reclamo","inestabilidad de conexion","conexion estabilizada","2024-07-31 11:00:00"
"105","49","Instalacion","visitar después de las 17hs","instalado satisfactoriamente","2024-08-31 16:00:00"
"106","49","Reclamo","cable cortado","cable reparado","2024-09-30 12:00:00"
"107","50","Instalacion","disponible solo por la mañana","instalado satisfactoriamente","2024-10-31 10:00:00"
"108","50","Reclamo","inestabilidad de conexion","conexion estabilizada","2024-11-30 11:00:00"
"109","12","Reclamo","cable cortado","cable reparado","2024-12-15 13:00:00"
"110","31","Reclamo","cable cortado","cable reparado","2024-12-30 13:00:00"
